gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LOC127098319,33.90818765,4.517643159,1.050484561,4.300532657,1.70388058292019e-05,0.001384146
LOC127076509,53.79592188,3.656835876,0.853919036,4.28241522,1.84875581338602e-05,0.001472193
LOC127098197,131.3219676,3.131901389,0.731182214,4.283339131,1.84109224541739e-05,0.001472193
LOC127138390,30.72398218,7.906085147,1.845083421,4.284947259,1.82782544386331e-05,0.001472193
LOC127126619,37.73804815,-4.944853096,1.156627964,-4.275232184,1.90938202333737e-05,0.001510533
LOC127097057,199.9384683,-4.69150049,1.098132415,-4.272253898,1.93507065513475e-05,0.001520915
LOC127101287,65.24369259,-4.420012273,1.036650957,-4.263742047,2.01031510343356e-05,0.001569862
LOC127117874,26.58356365,-5.223653003,1.226757957,-4.258095879,2.0617552496049e-05,0.001599711
LOC127080706,12.72358861,-7.625289593,1.792823753,-4.253228784,2.10710103311492e-05,0.001624481
LOC127117511,182.3742584,3.634241332,0.859778614,4.226950139,2.36880131934157e-05,0.001814682
LOC127074037,509.8398044,2.939978713,0.696648707,4.220173932,2.441139039407e-05,0.001835251
LOC127078022,30.99556077,4.676209804,1.107851579,4.220971378,2.43251825136708e-05,0.001835251
LOC127118606,523.7969607,2.823966155,0.668911514,4.221733509,2.42430630205721e-05,0.001835251
LOC127073574,388.7125392,-3.144186452,0.747055895,-4.208770019,2.56764562857521e-05,0.001918443
LOC127101125,15.66881212,-7.905946428,1.882553234,-4.199587181,2.67402058733712e-05,0.001985665
LOC127075237,25.73742527,-3.82407816,0.917713406,-4.166963386,3.08684053877629e-05,0.002278239
LOC127108333,43.13618457,-3.306846137,0.795098229,-4.159041003,3.1958653254689e-05,0.002344409
LOC127087515,23.84952297,-4.430118058,1.067159856,-4.151316257,3.30568600075385e-05,0.002410363
LOC127091014,22.22753198,-4.109423309,0.990760762,-4.147745315,3.35765613842181e-05,0.002433597
LOC127093516,12.08604834,-7.613384953,1.839625607,-4.138551304,3.49505723750947e-05,0.002518106
LOC127106492,80.59711615,2.979861189,0.720541924,4.135583359,3.54054061147659e-05,0.002535781
LOC127088044,28.73800952,-3.552303335,0.860169012,-4.129773666,3.63120534847784e-05,0.002555355
LOC127097060,14.22481093,-7.854675291,1.901068167,-4.131716804,3.60063860063331e-05,0.002555355
LOC127101441,11.47302713,-7.528940828,1.822515655,-4.131070593,3.61077667452477e-05,0.002555355
LOC127120276,13.85699519,-7.726582442,1.872256761,-4.126881848,3.67715196337847e-05,0.002572731
LOC127097951,18.14548757,-4.648719147,1.127499796,-4.123033249,3.73915700989108e-05,0.002590317
LOC127126311,22.01036899,-4.308867969,1.045164852,-4.122668267,3.74508851785477e-05,0.002590317
LOC127086829,19.06666894,7.216126706,1.751301329,4.120436949,3.78154545406013e-05,0.002600672
LOC127086136,21.12482405,-5.863685091,1.425860167,-4.112384389,3.9159358347497e-05,0.002657779
LOC127088268,191.356032,3.995265385,0.972026358,4.110243875,3.952414638609e-05,0.002657779
LOC127093048,24.62986651,6.282543494,1.528318262,4.110756019,3.94365739393608e-05,0.002657779
LOC127135031,207.1399152,3.399376211,0.826556081,4.112698811,3.91060443230791e-05,0.002657779
LOC127120537,108.6091965,-4.332649044,1.054793996,-4.107578409,3.99829064328669e-05,0.002673774
LOC127096643,17.14629236,-5.013561487,1.221170306,-4.105538321,4.03374403897116e-05,0.002682661
LOC127086377,30.15198987,5.007219991,1.220782207,4.101648894,4.10216406463116e-05,0.002713256
LOC127091494,56.46744287,3.149588818,0.768555495,4.098062978,4.16621940269768e-05,0.002740648
LOC127118530,11.53841626,-7.545601065,1.842891631,-4.09443558,4.23198055420084e-05,0.002768859
LOC127126677,18.29675543,-5.670427401,1.385599984,-4.092398576,4.26933997731296e-05,0.002778284
LOC127083068,569.461106,3.920193139,0.959435929,4.08593531,4.38996094940722e-05,0.002841502
LOC127118060,190.1544094,-2.517983406,0.61656961,-4.083859087,4.4293896630205e-05,0.002851773
LOC127086414,152.0228547,3.084758633,0.755931155,4.080740173,4.48925156056719e-05,0.002871508
LOC127115677,96.84944128,-2.812991559,0.689492889,-4.079797781,4.50748948766196e-05,0.002871508
LOC127086456,16.62826676,7.019853399,1.722591399,4.075170353,4.59806747520592e-05,0.002913875
LOC127107889,53.10092372,3.206095292,0.787853151,4.069407211,4.71329061090634e-05,0.002971337
LOC127097073,11.96889344,-7.604859409,1.869593948,-4.067652989,4.74890297345812e-05,0.002978276
LOC127096868,175.0870105,2.805097613,0.68997837,4.065486303,4.79324094996338e-05,0.002990587
LOC127092903,47.84125232,4.603137388,1.133148212,4.062255352,4.86008713719032e-05,0.003001352
LOC127119866,61.73262547,-6.457488069,1.58944941,-4.062720102,4.85041765701701e-05,0.003001352
LOC127091001,46.63330789,3.796814173,0.936274641,4.055235514,5.00838142906448e-05,0.003077231
LOC127083309,10.42952872,-7.360946271,1.818943656,-4.046824785,5.19170727423916e-05,0.003172326
LOC127125833,110.6615836,3.260819653,0.80598631,4.04575067,5.21557218573869e-05,0.003172326
LOC127091472,18.90643385,-5.122953425,1.268415141,-4.038861772,5.37112040384221e-05,0.003250602
LOC127074061,10.31237382,-7.356888667,1.824492848,-4.032292412,5.52353994785326e-05,0.003314635
LOC127120719,87.46592398,-3.462051218,0.858655192,-4.031945826,5.53169402126335e-05,0.003314635
LOC127091934,27.55224085,-3.91386791,0.97203499,-4.026468131,5.66209094070939e-05,0.003361364
LOC127104989,21.85771928,6.108160767,1.517051125,4.026338115,5.66522106414401e-05,0.003361364
LOC127085435,11.42126136,-7.537194988,1.872652457,-4.024876564,5.70052084071248e-05,0.00336581
LOC127118192,17.41531145,-4.581579043,1.139420701,-4.02097227,5.79584281986699e-05,0.00340548
LOC127086825,24.37748026,6.267453823,1.56144546,4.013879435,5.97288635216226e-05,0.003466539
LOC127105206,46.79347978,-3.608145884,0.898647307,-4.015085623,5.94242177551294e-05,0.003466539
LOC127118339,220.0673214,2.801191586,0.697964136,4.013374674,5.98567891334247e-05,0.003466539
LOC127086420,15.75968797,6.942510818,1.731215148,4.010195282,6.06685503640269e-05,0.00349682
LOC127084354,18.80290231,-5.136592217,1.282280163,-4.005826779,6.18009284360001e-05,0.003511918
LOC127103537,44.3355627,4.183107059,1.044078595,4.006505909,6.16235844584625e-05,0.003511918
LOC127138655,59.33570023,-4.312409746,1.076212176,-4.007025604,6.14881996645078e-05,0.003511918
LOC127086899,15.74505097,6.940473102,1.733106312,4.004643602,6.21110515241873e-05,0.003513048
LOC127136578,103.3170654,-2.895055592,0.723195254,-4.003145176,6.25059191671209e-05,0.003518938
LOC127123272,55.97492522,4.590902447,1.147829014,3.99963966,6.34390021044809e-05,0.003554934
LOC127091039,46.0492754,3.729241147,0.933262662,3.995918083,6.44440165910593e-05,0.00359461
LOC127118757,19.4682141,-5.751886475,1.442748961,-3.98675489,6.69831615265135e-05,0.003719102
LOC127086826,25.72788468,6.347320935,1.597182982,3.974072481,7.06540466104117e-05,0.003905007
LOC127084491,103.1425597,3.395764738,0.855789913,3.967988741,7.24817574729897e-05,0.003979056
LOC127105136,19.66772429,-6.798551957,1.713590131,-3.967431789,7.26512961017564e-05,0.003979056
LOC127087978,61.02418047,3.645614785,0.919188674,3.966122396,7.30513597637726e-05,0.003982944
LOC127138123,45.13948871,3.951378922,0.996986106,3.963323961,7.39133717529994e-05,0.004011872
LOC127119644,63.92845923,-2.961454497,0.747613729,-3.961209353,7.45711138485468e-05,0.004029503
LOC127125694,600.5309348,2.746396015,0.69401652,3.957248763,7.58179625134686e-05,0.004060622
LOC127131884,18.50988898,-6.752093223,1.706224676,-3.957329487,7.57923536603327e-05,0.004060622
LOC127108066,67.40413805,4.497366006,1.13726259,3.95455372,7.6677642691146e-05,0.004088574
LOC127097327,40.82953211,-3.075209594,0.778029705,-3.952560647,7.73193241969624e-05,0.004104707
LOC127127621,20.73239894,-5.844479614,1.479708717,-3.949750074,7.82328374645889e-05,0.004135067
LOC127127332,24.7349964,-4.466545849,1.131679724,-3.946828555,7.91932222913413e-05,0.004167629
LOC127073286,37.7013489,-3.142157247,0.797382961,-3.940587394,8.12823306210032e-05,0.004240695
LOC127120143,49.97908526,3.466274408,0.879569712,3.940875135,8.11848804196486e-05,0.004240695
LOC127118388,9.582197702,-7.24389583,1.839359876,-3.938270005,8.20712107267143e-05,0.004263476
LOC127084056,33.07501519,-3.253793876,0.828568928,-3.927004459,8.60103870941554e-05,0.004449016
LOC127073993,21.36247664,-6.89998442,1.758314544,-3.924203689,8.7017088746996e-05,0.004462944
LOC127084846,56.42569943,5.002799001,1.274675748,3.92476205,8.68155088231932e-05,0.004462944
LOC127080313,38.78363752,3.656880322,0.932601486,3.921160727,8.81234572367556e-05,0.004500617
LOC127075470,125.9088017,2.581604148,0.658748014,3.918955495,8.89335324602474e-05,0.004522905
LOC127093202,35.28609427,3.657061171,0.935045685,3.911104271,9.18750942914972e-05,0.004652955
LOC127106657,32.16591547,3.663038109,0.937482496,3.907313602,9.33279887807408e-05,0.004706634
LOC127138683,230.7844659,-2.79226269,0.714806594,-3.906319156,9.37127191939909e-05,0.004706634
LOC127106285,9.633963471,-7.222616115,1.850539449,-3.902978733,9.50160542134755e-05,0.004752373
LOC127076748,72.35651124,3.441540373,0.88354034,3.89517062,9.81296296200263e-05,0.004887906
LOC127076214,53.05132526,2.986465203,0.7671641,3.892863601,9.90678582341716e-05,0.004906156
